text,sentiment
worst best terrible average bad amazing best,negative
nice terrible bad good worst poor terrible worst amazing excellent nice excellent,negative
good average good terrible nice worst average poor,negative
nice terrible average excellent terrible worst average amazing terrible,positive
terrible best poor best good excellent worst,positive
excellent average average best excellent nice good worst good poor,negative
best bad average poor terrible bad worst,positive
poor average poor good nice average amazing worst worst terrible,negative
average poor bad amazing bad excellent nice poor best amazing average average,positive
worst terrible worst worst nice good good excellent nice amazing worst good,positive
excellent terrible worst bad terrible excellent excellent excellent worst excellent best amazing worst amazing amazing,negative
best worst terrible best worst average bad terrible best good,positive
good poor terrible good nice terrible poor worst amazing best excellent average poor,positive
excellent terrible nice bad amazing amazing,negative
worst nice poor bad nice,negative
best poor best poor nice best terrible average excellent,positive
poor terrible best excellent excellent good worst terrible good good good nice worst nice,positive
average average amazing average bad excellent terrible bad terrible average nice,positive
bad terrible nice terrible good average amazing average terrible nice average excellent average,positive
worst excellent amazing worst average good average,positive
bad excellent good average good best best best poor best,positive
bad average worst best average worst amazing average excellent poor best terrible poor terrible nice,negative
terrible best poor terrible terrible bad amazing worst average excellent bad amazing worst,negative
excellent good poor amazing best poor nice best average excellent average,positive
bad terrible worst average amazing nice excellent,negative
